DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;TUTOIA;Cerrado;0;0;0;"-2,903";"-42,48";;66.8
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;PAULINO NEVES;Cerrado;0;0;0;"-2,907";"-42,509";;172.3
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;BARREIRINHAS;Cerrado;0;0;0;"-2,989";"-43,228";;21
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;TUTOIA;Cerrado;0;0;0;"-3,041";"-42,365";;32.3
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;TUTOIA;Cerrado;0;0;0;"-3,042";"-42,389";;35.2
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;TUTOIA;Cerrado;0;0;0;"-3,045";"-42,394";;28.7
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;SANTA QUITERIA DO MARANHAO;Cerrado;0;0;0;"-3,278";"-42,871";;33.5
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;AFONSO CUNHA;Cerrado;0;0;0;"-4,261";"-43,292";;44.7
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;AFONSO CUNHA;Cerrado;0;0;0;"-4,266";"-43,327";;127.4
2018/08/01 15:50:00;AQUA_M-T;Brasil;MARANHAO;AFONSO CUNHA;Cerrado;0;0;0;"-4,271";"-43,322";;118.5
2018/08/01 15:50:00;AQUA_M-T;Brasil;PIAUI;TANQUE DO PIAUI;Caatinga;0;0;0;"-6,646";"-42,259";;145.8
2018/08/01 15:50:00;AQUA_M-T;Brasil;PIAUI;TANQUE DO PIAUI;Caatinga;0;0;0;"-6,655";"-42,254";;257.3
2018/08/01 15:50:00;AQUA_M-T;Brasil;PIAUI;SANTO INACIO DO PIAUI;Caatinga;0;0;0;"-7,463";"-42,139";;186.3
