DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/03/01 15:55:00;AQUA_M-T;Brasil;BAHIA;ANDARAI;Caatinga;0;0;0;"-12,807";"-41,363";;75.1
2018/03/01 15:55:00;AQUA_M-T;Brasil;BAHIA;ANDARAI;Caatinga;0;0;0;"-12,807";"-41,359";;66.8
2018/03/01 15:55:00;AQUA_M-T;Brasil;PERNAMBUCO;POMBOS;Mata Atlantica;0;0;0;"-8,226";"-35,36";;23.5
2018/03/01 15:55:00;AQUA_M-T;Brasil;PERNAMBUCO;BARRA DE GUABIRABA;Mata Atlantica;0;0;0;"-8,397";"-35,669";;5.8
2018/03/01 15:55:00;AQUA_M-T;Brasil;PERNAMBUCO;IPOJUCA;Mata Atlantica;0;0;0;"-8,399";"-35,024";;8.8
2018/03/01 15:55:00;AQUA_M-T;Brasil;BAHIA;VERA CRUZ;Mata Atlantica;0;0;0;"-13,109";"-38,776";;21.4
2018/03/01 15:55:00;AQUA_M-T;Brasil;BAHIA;SAO FELIX;Mata Atlantica;0;0;0;"-12,665";"-38,967";;23.2
2018/03/01 17:30:00;AQUA_M-T;Brasil;SAO PAULO;MORRO AGUDO;Cerrado;0;0;0;"-20,674";"-48,202";;27.5
2018/03/01 17:30:00;AQUA_M-T;Brasil;SAO PAULO;MORRO AGUDO;Cerrado;0;0;0;"-20,677";"-48,196";;28.5
2018/03/01 17:30:00;AQUA_M-T;Brasil;GOIAS;EDEIA;Cerrado;0;0;0;"-17,592";"-50,003";;32.2
2018/03/01 17:30:00;AQUA_M-T;Brasil;GOIAS;SANTA HELENA DE GOIAS;Cerrado;0;0;0;"-17,7";"-50,521";;27.7
2018/03/01 17:30:00;AQUA_M-T;Brasil;MATO GROSSO DO SUL;SELVIRIA;Cerrado;0;0;0;"-20,222";"-51,663";;20.6
2018/03/01 17:30:00;AQUA_M-T;Brasil;MATO GROSSO DO SUL;TRES LAGOAS;Cerrado;0;0;0;"-21,034";"-52,028";;19
2018/03/01 17:30:00;AQUA_M-T;Brasil;MATO GROSSO DO SUL;TERENOS;Cerrado;0;0;0;"-20,286";"-55,199";;11.8
2018/03/01 17:30:00;AQUA_M-T;Brasil;MATO GROSSO DO SUL;ANASTACIO;Cerrado;0;0;0;"-20,803";"-55,645";;7.5
2018/03/01 17:30:00;AQUA_M-T;Brasil;SAO PAULO;NOVO HORIZONTE;Mata Atlantica;0;0;0;"-21,471";"-49,227";;26.7
2018/03/01 17:30:00;AQUA_M-T;Brasil;GOIAS;CACHOEIRA DOURADA;Mata Atlantica;0;0;0;"-18,473";"-49,63";;131.2
2018/03/01 17:30:00;AQUA_M-T;Brasil;MATO GROSSO;RONDONOPOLIS;Cerrado;0;0;0;"-16,38";"-54,882";;15.6
2018/03/01 17:30:00;AQUA_M-T;Brasil;MATO GROSSO;RONDONOPOLIS;Cerrado;0;0;0;"-16,389";"-54,881";;15.9
2018/03/01 17:30:00;AQUA_M-T;Brasil;MATO GROSSO;RONDONOPOLIS;Cerrado;0;0;0;"-16,388";"-54,523";;14.1
2018/03/01 17:30:00;AQUA_M-T;Brasil;MATO GROSSO;SANTA RITA DO TRIVELATO;Cerrado;0;0;0;"-14,038";"-54,945";;9.3
2018/03/01 17:30:00;AQUA_M-T;Brasil;MATO GROSSO;CUIABA;Cerrado;0;0;0;"-15,456";"-56,084";;8.8
