DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/01/01 16:10:00;AQUA_M-T;Brasil;BAHIA;CORRENTINA;Cerrado;0;"6,74999952316";"0,109426528215";"-13,226";"-44,977";;42.7
2018/01/01 16:10:00;AQUA_M-T;Brasil;BAHIA;PRADO;Mata Atlantica;0;"4,42500019073";"0,0103128701448";"-17,359";"-39,302";;6.8
2018/01/01 16:10:00;AQUA_M-T;Brasil;MINAS GERAIS;TAIOBEIRAS;Cerrado;0;"13,0500001907";"0,0142649365589";"-15,698";"-42,029";;12.5
2018/01/01 16:15:00;AQUA_M-T;Brasil;RIO GRANDE DO NORTE;PARANA;Caatinga;0;0;"0,969432651997";"-6,433";"-38,29";;9
2018/01/01 16:15:00;AQUA_M-T;Brasil;CEARA;ICO;Caatinga;0;0;1;"-6,256";"-38,59";;18.4
2018/01/01 16:15:00;AQUA_M-T;Brasil;RIO GRANDE DO NORTE;SAO FRANCISCO DO OESTE;Caatinga;0;0;1;"-5,968";"-38,191";;25.9
2018/01/01 16:15:00;AQUA_M-T;Brasil;SERGIPE;ITAPORANGA D'AJUDA;Mata Atlantica;0;0;1;"-11,12";"-37,297";;26.7
2018/01/01 16:15:00;AQUA_M-T;Brasil;SERGIPE;ITAPORANGA D'AJUDA;Mata Atlantica;0;0;1;"-11,121";"-37,307";;35.3
2018/01/01 16:15:00;AQUA_M-T;Brasil;ALAGOAS;FELIZ DESERTO;Mata Atlantica;0;0;1;"-10,285";"-36,32";;13.6
2018/01/01 16:15:00;AQUA_M-T;Brasil;ALAGOAS;CORURIPE;Mata Atlantica;0;0;1;"-10,149";"-36,348";;18.2
2018/01/01 16:15:00;AQUA_M-T;Brasil;ALAGOAS;MARAGOGI;Mata Atlantica;0;0;"0,931783497334";"-8,938";"-35,182";;12.9
2018/01/01 16:15:00;AQUA_M-T;Brasil;PARAIBA;MATARACA;Mata Atlantica;0;0;1;"-6,589";"-34,987";;220.6
2018/01/01 16:15:00;AQUA_M-T;Brasil;PARAIBA;MATARACA;Mata Atlantica;0;0;1;"-6,578";"-34,989";;74.6
2018/01/01 16:15:00;AQUA_M-T;Brasil;RIO GRANDE DO NORTE;NOVA CRUZ;Caatinga;0;0;1;"-6,444";"-35,461";;10
2018/01/01 16:15:00;AQUA_M-T;Brasil;CEARA;MILAGRES;Caatinga;0;0;1;"-7,434";"-38,914";;19.5
2018/01/01 16:15:00;AQUA_M-T;Brasil;RIO GRANDE DO NORTE;NOVA CRUZ;Caatinga;0;0;1;"-6,442";"-35,448";;11.9
2018/01/01 16:15:00;AQUA_M-T;Brasil;CEARA;CARIUS;Caatinga;0;0;"0,340667068958";"-6,603";"-39,409";;36.8
2018/01/01 16:15:00;AQUA_M-T;Brasil;MARANHAO;PARNARAMA;Cerrado;0;"1,07500004768";1;"-5,655";"-43,489";;18.6
2018/01/01 16:15:00;AQUA_M-T;Brasil;PIAUI;BURITI DOS LOPES;Cerrado;0;0;0;"-3,243";"-41,842";;16.3
2018/01/01 16:15:00;AQUA_M-T;Brasil;MARANHAO;PRIMEIRA CRUZ;Cerrado;0;0;0;"-2,568";"-43,417";;21.7
2018/01/01 16:15:00;AQUA_M-T;Brasil;MARANHAO;URBANO SANTOS;Cerrado;0;0;0;"-3,256";"-43,235";;18.6
2018/01/01 16:15:00;AQUA_M-T;Brasil;CEARA;CAUCAIA;Caatinga;0;0;0;"-3,679";"-38,719";;31.2
2018/01/01 16:15:00;AQUA_M-T;Brasil;CEARA;TEJUCUOCA;Caatinga;0;0;0;"-3,837";"-39,62";;13.2
2018/01/01 16:15:00;AQUA_M-T;Brasil;CEARA;PALMACIA;Caatinga;0;0;0;"-4,13";"-38,909";;13.6
2018/01/01 16:15:00;AQUA_M-T;Brasil;CEARA;REDENCAO;Caatinga;0;0;0;"-4,186";"-38,848";;12.2
2018/01/01 16:15:00;AQUA_M-T;Brasil;CEARA;REDENCAO;Caatinga;0;0;0;"-4,185";"-38,839";;16.2
2018/01/01 16:15:00;AQUA_M-T;Brasil;CEARA;PACOTI;Caatinga;0;0;0;"-4,226";"-38,87";;14
