DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/10/06 17:15:00;AQUA_M-T;Brasil;MATO GROSSO;ARIPUANA;Amazonia;0;0;0;"-9,914";"-59,81";;35.9
2018/10/06 17:15:00;AQUA_M-T;Brasil;MATO GROSSO;ARIPUANA;Amazonia;0;0;0;"-9,917";"-59,803";;56.6
2018/10/06 17:15:00;AQUA_M-T;Brasil;MATO GROSSO;ARIPUANA;Amazonia;0;0;0;"-9,926";"-59,808";;64.3
2018/10/06 17:15:00;AQUA_M-T;Brasil;MATO GROSSO;ARIPUANA;Amazonia;0;0;0;"-9,929";"-59,801";;39.8
2018/10/06 17:15:00;AQUA_M-T;Brasil;MINAS GERAIS;NINHEIRA;Mata Atlantica;0;0;0;"-15,464";"-41,644";;69.2
2018/10/06 17:15:00;AQUA_M-T;Brasil;MINAS GERAIS;NINHEIRA;Mata Atlantica;0;0;0;"-15,478";"-41,635";;105.5
2018/10/06 17:15:00;AQUA_M-T;Brasil;BAHIA;COTEGIPE;Cerrado;0;0;0;"-11,512";"-44,088";;89.1
2018/10/06 17:15:00;AQUA_M-T;Brasil;GOIAS;SAO MIGUEL DO ARAGUAIA;Cerrado;0;0;0;"-13,229";"-50,542";;11.3
2018/10/06 17:15:00;AQUA_M-T;Brasil;GOIAS;SAO MIGUEL DO ARAGUAIA;Cerrado;0;0;0;"-13,232";"-50,546";;14.1
2018/10/06 17:15:00;AQUA_M-T;Brasil;GOIAS;GUARANI DE GOIAS;Cerrado;0;0;0;"-13,853";"-46,684";;32.6
2018/10/06 17:15:00;AQUA_M-T;Brasil;GOIAS;GUARANI DE GOIAS;Cerrado;0;0;0;"-13,865";"-46,681";;68.1
2018/10/06 17:15:00;AQUA_M-T;Brasil;GOIAS;DOVERLANDIA;Cerrado;0;0;0;"-16,595";"-52,399";;116.2
2018/10/06 17:15:00;AQUA_M-T;Brasil;GOIAS;CAIAPONIA;Cerrado;0;0;0;"-17,037";"-52,337";;38.5
2018/10/06 17:15:00;AQUA_M-T;Brasil;MINAS GERAIS;JANUARIA;Caatinga;0;0;0;"-15,373";"-44,195";;58.2
2018/10/06 17:15:00;AQUA_M-T;Brasil;MINAS GERAIS;JANUARIA;Caatinga;0;0;0;"-15,376";"-44,2";;50.9
2018/10/06 17:15:00;AQUA_M-T;Brasil;MATO GROSSO;FELIZ NATAL;Amazonia;0;0;0;"-12,25";"-54,503";;14.8
2018/10/06 17:15:00;AQUA_M-T;Brasil;MATO GROSSO;NOVO SANTO ANTONIO;Cerrado;0;0;0;"-12,296";"-51,26";;18.9
