DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/02/01 17:05:00;AQUA_M-T;Brasil;GOIAS;MONTIVIDIU;Cerrado;0;0;0;"-17,517";"-51,272";;8.1
2018/02/01 17:05:00;AQUA_M-T;Brasil;GOIAS;RIO VERDE;Cerrado;0;0;0;"-17,774";"-51,408";;10.3
2018/02/01 17:05:00;AQUA_M-T;Brasil;GOIAS;QUIRINOPOLIS;Cerrado;0;0;0;"-18,198";"-50,127";;7.8
2018/02/01 17:05:00;AQUA_M-T;Brasil;SAO PAULO;SAO PEDRO;Cerrado;0;0;0;"-22,62";"-48,061";;14.4
2018/02/01 17:05:00;AQUA_M-T;Brasil;GOIAS;GOUVELANDIA;Mata Atlantica;0;0;0;"-18,38";"-50,173";;9.2
2018/02/01 17:05:00;AQUA_M-T;Brasil;GOIAS;GOUVELANDIA;Mata Atlantica;0;0;0;"-18,495";"-50,138";;7.1
2018/02/01 17:05:00;AQUA_M-T;Brasil;MINAS GERAIS;ITAPAGIPE;Mata Atlantica;0;0;0;"-19,818";"-49,627";;8.6
2018/02/01 17:05:00;AQUA_M-T;Brasil;SAO PAULO;JACI;Mata Atlantica;0;0;0;"-20,968";"-49,626";;7.6
2018/02/01 17:05:00;AQUA_M-T;Brasil;SANTA CATARINA;PAPANDUVA;Mata Atlantica;0;0;0;"-26,734";"-50,226";;9.3
2018/02/01 17:05:00;AQUA_M-T;Brasil;SANTA CATARINA;CELSO RAMOS;Mata Atlantica;0;0;0;"-27,645";"-51,238";;16
2018/02/01 17:05:00;AQUA_M-T;Brasil;RIO GRANDE DO SUL;CAPITAO;Mata Atlantica;0;0;0;"-29,28";"-52,022";;11.5
2018/02/01 17:05:00;AQUA_M-T;Brasil;RIO GRANDE DO SUL;SAO JOSE DO HORTENCIO;Mata Atlantica;0;0;0;"-29,542";"-51,232";;11.1
2018/02/01 17:05:00;AQUA_M-T;Brasil;RIO GRANDE DO SUL;DOIS IRMAOS;Mata Atlantica;0;0;0;"-29,587";"-51,1";;10.2
2018/02/01 17:05:00;AQUA_M-T;Brasil;RIO GRANDE DO SUL;TAQUARA;Mata Atlantica;0;0;0;"-29,603";"-50,723";;18.7
2018/02/01 17:05:00;AQUA_M-T;Brasil;MATO GROSSO;CHAPADA DOS GUIMARAES;Cerrado;0;0;0;"-15,153";"-55,183";;11.6
2018/02/01 17:05:00;AQUA_M-T;Brasil;MATO GROSSO;ITIQUIRA;Cerrado;0;0;0;"-17,173";"-54,428";;10.5
2018/02/01 17:10:00;AQUA_M-T;Brasil;RORAIMA;MUCAJAI;Amazonia;0;0;0;"2,609";"-61,175";;30.5
2018/02/01 17:10:00;AQUA_M-T;Brasil;RORAIMA;MUCAJAI;Amazonia;0;0;0;"2,605";"-61,187";;20.9
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;MONTE ALEGRE;Amazonia;0;0;0;"-1,4";"-53,953";;28
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;ALENQUER;Amazonia;0;0;0;"-1,573";"-54,647";;6.4
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;MONTE ALEGRE;Amazonia;0;0;0;"-1,541";"-54,162";;6.9
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;MONTE ALEGRE;Amazonia;0;0;0;"-1,54";"-54,153";;132.7
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;MONTE ALEGRE;Amazonia;0;0;0;"-1,536";"-54,063";;15.9
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;MONTE ALEGRE;Amazonia;0;0;0;"-1,524";"-53,983";;11.5
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;MONTE ALEGRE;Amazonia;0;0;0;"-1,523";"-53,974";;6.8
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;MONTE ALEGRE;Amazonia;0;0;0;"-1,533";"-53,981";;34.2
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;MONTE ALEGRE;Amazonia;0;0;0;"-1,532";"-53,972";;35.5
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;ALENQUER;Amazonia;0;0;0;"-1,727";"-54,439";;15
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;MONTE ALEGRE;Amazonia;0;0;0;"-1,705";"-54,287";;9.4
2018/02/01 17:10:00;AQUA_M-T;Brasil;PARA;PRAINHA;Amazonia;0;0;0;"-1,614";"-53,519";;16.1
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;UIRAMUTA;Amazonia;0;0;0;"4,905";"-60,366";;10.9
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;PACARAIMA;Amazonia;0;0;0;"4,731";"-60,678";;20.1
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;PACARAIMA;Amazonia;0;0;0;"4,116";"-60,727";;24.2
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;PACARAIMA;Amazonia;0;0;0;"4,118";"-60,711";;110.3
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;NORMANDIA;Amazonia;0;0;0;"4,1";"-59,832";;18.6
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,825";"-61,08";;21.9
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;NORMANDIA;Amazonia;0;0;0;"3,967";"-60,116";;21.3
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,822";"-60,938";;32.8
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,81";"-60,936";;22.3
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,76";"-61,179";;26.6
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,763";"-61,161";;260.9
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,766";"-61,143";;36.4
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,751";"-61,159";;164.7
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,754";"-61,141";;155.4
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,741";"-61,139";;90.1
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,753";"-60,98";;45.3
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,756";"-60,963";;86.6
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,759";"-60,946";;54.2
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,738";"-60,995";;89.4
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,741";"-60,978";;662.6
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,744";"-60,961";;101.3
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,729";"-60,976";;61.9
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,747";"-60,99";;58.7
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,749";"-60,973";;239.8
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,752";"-60,955";;138.9
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,734";"-60,988";;340.2
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;AMAJARI;Amazonia;0;0;0;"3,737";"-60,971";;352.6
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;ALTO ALEGRE;Amazonia;0;0;0;"3,023";"-61,037";;41.7
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;ALTO ALEGRE;Amazonia;0;0;0;"3,025";"-61,019";;577.8
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;ALTO ALEGRE;Amazonia;0;0;0;"3,028";"-61,001";;69.9
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;ALTO ALEGRE;Amazonia;0;0;0;"3,013";"-61,017";;67.6
2018/02/01 17:15:00;AQUA_M-T;Brasil;RORAIMA;BOA VISTA;Amazonia;0;0;0;"3,009";"-60,962";;30.6
2018/02/02 16:10:00;AQUA_M-T;Brasil;BAHIA;CAMACARI;Mata Atlantica;0;0;0;"-12,635";"-38,31";;9.9
2018/02/02 16:10:00;AQUA_M-T;Brasil;BAHIA;AMARGOSA;Mata Atlantica;0;0;0;"-13,045";"-39,736";;26.8
2018/02/02 16:10:00;AQUA_M-T;Brasil;BAHIA;LAJE;Mata Atlantica;0;0;0;"-13,199";"-39,204";;6
2018/02/02 16:10:00;AQUA_M-T;Brasil;BAHIA;TEOLANDIA;Mata Atlantica;0;0;0;"-13,489";"-39,632";;12.2
2018/02/02 16:10:00;AQUA_M-T;Brasil;BAHIA;CAMAMU;Mata Atlantica;0;0;0;"-13,963";"-39,143";;22.2
2018/02/02 16:10:00;AQUA_M-T;Brasil;BAHIA;ITORORO;Mata Atlantica;0;0;0;"-14,994";"-39,982";;12.7
2018/02/02 16:10:00;AQUA_M-T;Brasil;BAHIA;ITAJU DO COLONIA;Mata Atlantica;0;0;0;"-15,195";"-39,716";;11.6
2018/02/02 16:10:00;AQUA_M-T;Brasil;BAHIA;CANAVIEIRAS;Mata Atlantica;0;0;0;"-15,608";"-39,015";;14.1
2018/02/02 16:15:00;AQUA_M-T;Brasil;PIAUI;SIMPLICIO MENDES;Caatinga;0;0;0;"-7,693";"-41,983";;13.5
2018/02/02 16:15:00;AQUA_M-T;Brasil;PIAUI;SIMPLICIO MENDES;Caatinga;0;0;0;"-7,694";"-41,989";;20.5
2018/02/02 16:15:00;AQUA_M-T;Brasil;PERNAMBUCO;TABIRA;Caatinga;0;0;0;"-7,648";"-37,427";;19.2
2018/02/02 16:15:00;AQUA_M-T;Brasil;ALAGOAS;SANTANA DO IPANEMA;Caatinga;0;0;0;"-9,409";"-37,202";;17.1
2018/02/02 16:15:00;AQUA_M-T;Brasil;BAHIA;QUIJINGUE;Caatinga;0;0;0;"-10,882";"-39,049";;11.2
2018/02/02 16:15:00;AQUA_M-T;Brasil;SERGIPE;TOBIAS BARRETO;Caatinga;0;0;0;"-11,038";"-37,955";;14
2018/02/02 16:15:00;AQUA_M-T;Brasil;BAHIA;ITAPICURU;Caatinga;0;0;0;"-11,279";"-38,092";;19.6
2018/02/02 16:15:00;AQUA_M-T;Brasil;BAHIA;INHAMBUPE;Caatinga;0;0;0;"-11,879";"-38,432";;13.6
2018/02/02 16:15:00;AQUA_M-T;Brasil;SERGIPE;CAPELA;Mata Atlantica;0;0;0;"-10,419";"-36,989";;11.1
2018/02/02 16:15:00;AQUA_M-T;Brasil;SERGIPE;ITABAIANA;Mata Atlantica;0;0;0;"-10,708";"-37,451";;8.1
2018/02/02 16:15:00;AQUA_M-T;Brasil;SERGIPE;ROSARIO DO CATETE;Mata Atlantica;0;0;0;"-10,68";"-37,018";;17.1
2018/02/02 16:15:00;AQUA_M-T;Brasil;SERGIPE;GENERAL MAYNARD;Mata Atlantica;0;0;0;"-10,678";"-37,008";;13.6
2018/02/02 16:15:00;AQUA_M-T;Brasil;SERGIPE;ROSARIO DO CATETE;Mata Atlantica;0;0;0;"-10,689";"-37,017";;7.4
2018/02/02 16:15:00;AQUA_M-T;Brasil;SERGIPE;ITAPORANGA D'AJUDA;Mata Atlantica;0;0;0;"-10,986";"-37,343";;17.3
2018/02/02 16:15:00;AQUA_M-T;Brasil;SERGIPE;ITAPORANGA D'AJUDA;Mata Atlantica;0;0;0;"-10,985";"-37,333";;11.5
2018/02/02 16:15:00;AQUA_M-T;Brasil;BAHIA;RIO REAL;Mata Atlantica;0;0;0;"-11,634";"-37,812";;60.6
2018/02/02 16:15:00;AQUA_M-T;Brasil;BAHIA;RIO REAL;Mata Atlantica;0;0;0;"-11,633";"-37,803";;17.2
2018/02/02 16:15:00;AQUA_M-T;Brasil;MARANHAO;NOVA OLINDA DO MARANHAO;Amazonia;0;0;0;"-2,807";"-45,855";;12.1
2018/02/02 17:45:00;AQUA_M-T;Brasil;RIO GRANDE DO SUL;SAO JERONIMO;Pampa;0;0;0;"-30,386";"-51,96";;15.1
2018/02/02 17:45:00;AQUA_M-T;Brasil;RIO GRANDE DO SUL;CRISTAL;Pampa;0;0;0;"-30,913";"-52,216";;37.1
2018/02/02 17:45:00;AQUA_M-T;Brasil;RIO GRANDE DO SUL;CRISTAL;Pampa;0;0;0;"-30,907";"-52,212";;41.1
